"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
1,"1","2025-06-11T18:29:44.932771Z",1,4.986,"irrelevant","What I have Learned from Gabriel García Márquez’s One Hundred Years of Solitude,","2025-06-11T18:29:44.932789Z"
2,"1","2025-06-11T18:29:49.090758Z",2,3.884,"irrelevant","Jewish Mamales,","2025-06-11T18:29:49.090775Z"
3,"1","2025-06-11T18:29:56.198661Z",3,6.821,"irrelevant","Ninth of Av (Historical Analysis) – Part 1,","2025-06-11T18:29:56.198681Z"
4,"1","2025-06-11T18:30:00.192638Z",4,3.714,"irrelevant","Problems and solutions,","2025-06-11T18:30:00.192656Z"
5,"1","2025-06-11T18:30:04.384206Z",5,3.927,"irrelevant","Keeping Tradition Alive: The Sephardic Hebrew Center and Cuba’s Jewish Story,","2025-06-11T18:30:04.384225Z"
6,"1","2025-06-11T18:30:11.379548Z",6,6.704,"irrelevant","When is Enough…Enough?,","2025-06-11T18:30:11.379567Z"
7,"1","2025-06-11T18:30:14.944995Z",7,3.297,"irrelevant","What My Commute Says About Israel Today,","2025-06-11T18:30:14.945015Z"
8,"1","2025-06-11T18:30:17.910166Z",8,2.687,"irrelevant","Hollywood Veteran Turns to Jewish History,","2025-06-11T18:30:17.910185Z"
9,"1","2025-06-11T18:30:20.649044Z",9,2.47,"irrelevant","God Alone – But Is He Lonely?,","2025-06-11T18:30:20.649060Z"
10,"1","2025-06-11T18:30:24.070235Z",10,3.143,"irrelevant","From Captivity to Celebration: Gadi Moses Honored in Georgia,","2025-06-11T18:30:24.070257Z"
11,"1","2025-06-11T18:30:43.443407Z",11,19.088,"irrelevant","Moldovan national stabbed to death in Tel Aviv apartment, partner detained for questioning,","2025-06-11T18:30:43.443462Z"
12,"1","2025-06-11T18:30:54.043012Z",12,10.314,"irrelevant","GHF says two aid distribution sites to be open Sunday afternoon, warns against showing up earlier,","2025-06-11T18:30:54.043031Z"
13,"1","2025-06-11T18:31:02.093242Z",13,7.775,"relevant","Netanyahu condemns ‘violence of any kind’ after window shattered at Supreme Court,","2025-06-11T18:31:02.093264Z"
14,"1","2025-06-11T18:31:12.124904Z",14,9.746,"irrelevant","After fleeing, man arrested on suspicion of murdering his mother in Nahariya,","2025-06-11T18:31:12.124923Z"
15,"1","2025-06-11T18:31:17.635846Z",15,5.23,"irrelevant","67-year-old woman in Nahariya stabbed to death; police searching for son on suspicion of murder,","2025-06-11T18:31:17.635865Z"
16,"1","2025-06-11T18:31:24.282484Z",16,6.371,"relevant","Mass anti-Israel march held in Rome to denounce Italian ‘complicity’ in Gaza war,","2025-06-11T18:31:24.282504Z"
17,"1","2025-06-11T18:31:33.555196Z",17,8.883,"relevant","Lapid blames gov’t for shattering of Supreme Court window: ‘Direct result of its incitement’,","2025-06-11T18:31:33.555212Z"
18,"1","2025-06-11T18:31:46.195687Z",18,12.361,"irrelevant","Brother of hostage soldier slams PM for failing to free male troops without foreign citizenship,","2025-06-11T18:31:46.195704Z"
19,"1","2025-06-11T18:31:50.515634Z",19,4.045,"relevant","Matan Zangauker’s mom says his blood ‘will stain hands’ of PM if he’s not freed from Gaza,","2025-06-11T18:31:50.515653Z"
20,"1","2025-06-11T18:31:54.124984Z",20,3.334,"irrelevant","Levin slams shattering of Supreme Court window, refuses to recognize Isaac Amit as chief justice,","2025-06-11T18:31:54.125002Z"
21,"1","2025-06-11T18:31:58.131899Z",21,3.737,"relevant","Judiciary says window at Supreme Court building was shattered by airsoft gun or slingshot,","2025-06-11T18:31:58.131915Z"
22,"1","2025-06-11T18:32:00.357461Z",22,1.94,"relevant","IDF names two other soldiers killed Friday in southern Gaza explosion,","2025-06-11T18:32:00.357479Z"
23,"1","2025-06-11T18:32:03.041358Z",23,2.398,"relevant","Silent vigil held in Tel Aviv for Gazan children killed in IDF strikes,","2025-06-11T18:32:03.041378Z"
24,"1","2025-06-11T18:32:05.409206Z",24,2.082,"relevant","IDF: Hamas used tunnel below Gaza’s European Hospital as a main command post on Oct. 7,","2025-06-11T18:32:05.409226Z"
25,"1","2025-06-11T18:32:09.585997Z",25,3.904,"irrelevant","Trump threatens Musk with ‘serious consequences’ if he backs Democratic candidates,","2025-06-11T18:32:09.586014Z"
26,"1","2025-06-11T18:32:18.444059Z",26,8.571,"relevant","IDF: Head of Hamas-aligned Mujahideen Brigades killed; he invaded Nir Oz, directly tied to Bibas family killings,","2025-06-11T18:32:18.444090Z"
27,"1","2025-06-11T18:32:20.650009Z",27,1.937,"relevant","Anti-government protesters at Habima Square rail against Haredi draft exemption, attacks on judiciary,","2025-06-11T18:32:20.650027Z"
28,"1","2025-06-11T18:32:27.268609Z",28,6.331,"relevant","Hamas publishes new photo of hostage Matan Zangauker in captivity,","2025-06-11T18:32:27.268632Z"
29,"1","2025-06-11T18:32:28.596748Z",29,1.061,"relevant","Terror group behind murder of Oct. 7 hostages, including Bibas family, announces top member killed in IDF strike,","2025-06-11T18:32:28.596764Z"
30,"1","2025-06-11T18:32:29.919014Z",30,1.05,"relevant","IDF releases video from Hamas tunnel under Gaza hospital where Muhammad Sinwar was killed,","2025-06-11T18:32:29.919031Z"
31,"1","2025-06-11T18:32:31.215287Z",31,1.016,"relevant","Ex-Mossad chief Yossi Cohen said considering forming new party before next elections,","2025-06-11T18:32:31.215311Z"
32,"1","2025-06-11T18:32:33.457126Z",32,1.956,"relevant","Gaza aid group says it couldn’t open distribution hubs today because of Hamas threats to its staff,","2025-06-11T18:32:33.457145Z"
33,"1","2025-06-11T18:32:35.840393Z",33,2.11,"relevant","Father of hostage Eitan Horn urges Witkoff to issue ultimatum to Netanyahu and Hamas,","2025-06-11T18:32:35.840448Z"
34,"1","2025-06-11T18:32:39.873902Z",34,3.756,"relevant","Al-Qaeda leader in Yemen threatens Trump, Musk over Gaza war: ‘There are no red lines’,","2025-06-11T18:32:39.873921Z"
35,"1","2025-06-11T18:32:41.061971Z",35,0.909,"relevant","Israeli forces detain prominent terror suspect in West Bank, foil imminent attack plan,","2025-06-11T18:32:41.061987Z"
36,"1","2025-06-11T18:32:42.156710Z",36,0.812,"relevant","IDF confirms troops operating inside Hamas tunnels in area where Muhammad Sinwar was targeted,","2025-06-11T18:32:42.156726Z"
37,"1","2025-06-11T18:32:44.195627Z",37,1.769,"relevant","Pro-Iran outlets claim that Tehran acquired trove of sensitive Israeli nuclear files,","2025-06-11T18:32:44.195642Z"
