,website,title,date,media_type,link,content,prediction,
0,aljazeera,Judge rules Mahmoud Khalil can remain in custody amid green card dispute,2025-06-13,news,https://www.aljazeera.com/news/2025/6/13/judge-rules-mahmoud-khalil-can-remain-in-custody-amid-green-card-dispute,"A United States federal judge has allowed the administration of President Donald Trump to keep student protester Mahmoud Khalil in custody based on allegations of immigration fraud.On Friday, Judge Michael Farbiarz of Newark, New Jersey, ruled that Khalil’s legal team had not adequately shown why his detention on the charge would be unlawful.It was a major setback for Khalil, who had been a negotiator for the student protesters at Columbia University demonstrating against Israel’s war on Gaza. He was the first high-profile protester to be arrested under Trump’s campaign to expel foreign students who participated in pro-Palestinian advocacy.Just this week, Farbiarz appeared poised to order Khalil’s release, on the basis that his detention under the Immigration and Nationality Act of 1952 was unconstitutional.That law stipulates that the secretary of state – in this case, Marco Rubio – has the power to remove foreign nationals who have “potentially serious adverse foreign policy consequences for the United States”. But Farbiarz ruled that Rubio’s use of the law violated Khalil’s freedom of speech.Still, the Trump administration filed additional court papers saying it had another reason for wanting to deport Khalil.It alleged that Khalil, a permanent US resident, had omitted information from his green-card application that would have otherwise disqualified him from gaining residency.The Trump administration has long accused Khalil of supporting terrorism through his protest-related activities, something the former graduate student has vehemently denied.In the case of his green-card application, it argues that Khalil failed to disclose his work with the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA), a humanitarian organisation. Politicians in Israel and the US have accused UNRWA of ties to the armed group Hamas, an allegation reportedly made without evidence.Khalil, however, has denied he was ever an “officer” in UNRWA, as alleged. Instead, his legal team points out that he completed a United Nations internship through Columbia University.The Trump administration also argues that Khalil did not accurately identify the length of his employment with the Syria Office of the British Embassy in Beirut. Khalil and his legal team, meanwhile, say he accurately identified his departure date from the job as December 2022.Judge Farbiarz had set Friday morning as a deadline for the Trump administration to appeal Khalil’s release on bail. But that deadline was extended to give the government more time to challenge Khalil’s release.Ultimately, Farbiarz allowed the Trump administration to continue its detention of Khalil. He advised Khalil’s lawyers to seek release on bail from the immigration court where his deportation trial is being held in Louisiana.Farbiarz had been weighing a separate habeas corpus petition from the Khalil team that called into question the constitutionality of his continued detention.Marc Van Der Hout, a lawyer for Khalil, told the Reuters news agency that immigration fraud charges are exceedingly rare, and the Trump administration’s use of such charges was simply a political manoeuvre to keep Khalil in lock-up.“Detaining someone on a charge like this is highly unusual and frankly outrageous,” said Van Der Hout. “There continues to be no constitutional basis for his detention.”Another lawyer representing Khalil, Amy Greer, described the new allegations against his green-card application as part of the government’s “cruel, transparent delay tactics”. She noted that Khalil, a new father whose child was born in April, would miss his first Father’s Day, which falls this Sunday in the US.“Instead of celebrating together, he is languishing in ICE [Immigration and Customs Enforcement] detention as punishment for his advocacy on behalf of his fellow Palestinians,” Greer said in a statement.“It is unjust, it is shocking, and it is disgraceful.”",0,
1,aljazeera,Israel strikes may make Iran more determined to pursue nuclear programme,2025-06-13,news,https://www.aljazeera.com/news/2025/6/13/iran-to-double-down-on-nuclear-programme-after-israeli-strikes-analysts,"Israel’s attacks on Iranian nuclear and military sites mark a significant escalation in regional tensions, and may reshape Tehran’s nuclear calculus.The coordinated strikes killed several senior military and security officials, including the head of Iran’s military Mohammad Bagheri, and the head of the Islamic Revolutionary Guard Corps (IRGC), Hossein Salami.“One of the concerns in attacking the nuclear sites has been that setbacks could lead Iran to reconstitute their operations with a more determined effort to obtain a nuclear deterrent,” said Ali Vaez, an expert on Iran for the International Crisis Group (ICG).Iran has long had an internal debate among reformers and hardliners about whether to reach an agreement with the United States on its nuclear programme.“[The attacks] likely confirmed the position of hardliners and ultra hardliners who said that Iran was wasting its time to try and negotiate with the West … they said Iran can never negotiate from a position of weakness and appeasement,” said Reza H Akbari, an analyst on Iran and the Middle East and North Africa Programme Manager at the Institute for War and Peace Reporting.Talks between Iran and the US have suffered from a large trust deficit after President Donald Trump unilaterally pulled out of the nuclear deal between Iran and several Western nations, known as the Joint Comprehensive Plan of Action (JCPOA), during his first term in 2018.The JCPOA was orchestrated by Trump’s predecessor Barack Obama and endorsed by the United Nations Security Council in 2015.It aimed to monitor Iran’s nuclear programme to ensure it did not approach weaponisation levels. In exchange, some sanctions were lifted from Iran.While the deal was lauded as an achievement of diplomacy, Israel disapproved of the JCPOA. Ten years later, the US and Iran appeared interested in striking another similar deal.The former ostensibly did not want to get dragged into a regional war as tensions mounted across the Middle East, while the latter was again looking for much-needed sanction relief.But Israel’s strikes on Iran, which were reportedly planned months in advance and with US approval, have scuttled any diplomatic solution in the short term, said Akbari.“It’s hard to imagine that someone in the shoes of Iran’s supreme leader [Ali Khamenei] is not taking the side of hardliners after this,” he told Al Jazeera.In response to Israel’s strikes, Iran has launched drones and ballistic missiles at Israel, with some hitting targets on the ground.In the past, Iran’s deterrence against external aggression relied primarily on its self-described “Axis of Resistance”.The axis consisted of powerful armed groups across the region, such as Lebanon’s Hezbollah, as well as Syria under former President Bashar al-Assad.However, Hezbollah’s capabilities were degraded significantly during the peak of its recent war with Israel, which lasted from September to late November last year.Al-Assad’s fall in December, the culmination of a more than decade-long civil war in Syria, also compromised Iran’s ability to resupply Hezbollah through Syria, as it used to do.Trump is now exploiting Iran’s weakness by urging it to capitulate to a deal that would see it give up its nuclear programme, said Michael Stephens, an expert on regional response to Iran’s nuclear programme with the Royal United Service Institute (RUSI), a defence think tank.On Friday, Trump posted on Truth Social that Iran must make a deal before there is “nothing left” of the country and that the next Israeli attacks will be even “more brutal”.Later that evening, Israel carried out more air strikes on Iran’s military sites and nuclear facilities.“There are no good options for [Iran] really,” said Stephens.“Either Khamenei … orders his negotiators to compromise on the nuclear file or … he holds firm [and] more sites are hit and further targeted assassinations of high-level officials take place,” he told Al Jazeera.“Either way, if Iran decides to sprint towards a bomb, it’s going to be very, very difficult to do that now,” he added.Despite Iran’s military weakness compared with the US and Israel, it is wary of giving up its nuclear programme, analysts told Al Jazeera.Negar Mortazavi, an expert on Iran with the Centre for International Policy (CIP), said Iranian officials have long referred to the fate of former Libyan leader Muammar Gaddafi, who agreed to give up his nuclear weapons programme in exchange for US sanction relief in 2003.The deal came after the US President George W Bush had launched his so-called “War on Terror” after the September 11, 2001, attacks, which led to the invasion and prolonged occupation of Iraq and Afghanistan.At the time, Bush warned his partners and foes in the region that they were either “with us or against us”.Eight years after Gaddafi gave up his nuclear programme, the US backed a pro-democracy uprising in Libya, which spiralled into an armed rebellion and led to Gaddafi’s overthrow and eventual death.“The [Libya] scenario is something that Iran has taken notice of, and they don’t want to go down that path,” Mortazavi explained.She added that Iran may likely pull out from the JCPOA and try to quickly expand its nuclear programme in reaction to Israel’s ongoing assault.“Just how far and how soon Iran will expand its nuclear programme is unclear,” Mortazavi told Al Jazeera.",1,
2,aljazeera,Netanyahu: Israel informed US of Iranian strikes in advance,2025-06-13,program/newsfeed,https://www.aljazeera.com/program/newsfeed/2025/6/13/netanyahu-israel-informed-us-of-iranian-strikes-in-advance,Israeli PM Netanyahu said Friday’s strike on Iran was months in the making and that the US was informed in advance.,0,
3,aljazeera,"Egypt, Libya stop activists gathering for March to Gaza, organisers say",2025-06-13,news,https://www.aljazeera.com/news/2025/6/13/egypt-libya-stop-activists-gathering-for-march-to-gaza-organisers-say,"Authorities in both Egypt and Libya have stopped activists seeking to break Israel’s blockade on Gaza, protest organisers have said, with reports of more detentions and deportations taking place.“Forty participants of the Global March to Gaza have had their passports taken at a checkpoint on the way out of Cairo,” the organisers of the Global March to Gaza said in a statement on Friday.“They are being held in the heat and not allowed to move,” they continued, adding that another “15 are being held at hotels”.The activists are from France, Spain, Canada, Turkiye and the United Kingdom, it said, adding, “We are a peaceful movement and we are complying with Egyptian law.”The group urged embassies to help secure their release so they could complete their voyage.Activists arrived in Egypt this week for the Global March to Gaza, a grassroots initiative aiming to pressure Israel to allow the delivery of aid and humanitarian supplies to Gaza’s starving population.Organisers said that participants from 80 countries were set to begin their march towards Egypt’s Rafah crossing with Gaza, with about 4,000 activists expected to take part.The overland protest was to coincide with other solidarity efforts, including a boat carrying aid and activists that was intercepted by the Israeli military earlier this week as it attempted to reach Gaza.According to plans outlined by organisers, participants were to travel by bus to El Arish, a city in the heavily securitised Sinai Peninsula, before walking the final 50km (30 miles) to Rafah. Protesters intended to camp near the border before returning to Cairo on June 19.However, Egyptian police stopped several groups of foreign nationals en route, forcing vehicles to pull over roughly 30km (20 miles) from Ismailia, just outside the Sinai. Activists said police ordered passengers with non-Egyptian passports to disembark, blocking their passage to Rafah.Paul Murphy, an independent Irish member of parliament, who has travelled to Egypt to take part, said in a post on X, “We have had our passports confiscated and are being detained. It seems Egyptian authorities have decided to crack down on the Great March To Gaza.”Mo, a member of the protest march from the Netherlands, said that his group had headed in taxis to Ismailia, but that at a checkpoint near the city foreigners were told to hand over their passports, with only Egyptians allowed through. He also described riot police who came to clear the road of protesters.Now back in Cairo, Mo and the group from the Netherlands are deciding what to do next.“We are trying to regroup,” he told Al Jazeera. “A lot of our group is splintered, some have been beaten up by the police… so they’re coming back battered and bruised and broken.”“It seems like the Egyptian authorities are determined to stop us from reaching anywhere near the border.”Security sources told the Reuters news agency that at least 88 individuals had been detained or deported from Cairo airport and other locations across the country.Three airport sources told Reuters that at least 73 foreign nationals were deported on a flight to Istanbul for violating entry protocols, with about 100 more still awaiting deportation at the airport.Officials at Cairo International Airport said new directives were issued to airlines requiring all passengers travelling to Egypt between June 12 and 16 to hold confirmed return tickets, Reuters reported.Egypt’s Ministry of Foreign Affairs has said that any visits to the Rafah border area must be coordinated in advance with Egyptian embassies or official bodies, citing security concerns in the Sinai.Organisers of the march maintain they coordinated the trip with authorities and called on the government to release those detained.Separately, a land convoy known as “Soumoud”, which had departed Tunisia carrying activists from Tunisia, Algeria, Morocco and Mauritania, was stopped on Friday morning at the entrance to Sirte, a city in Libya under the control of forces loyal to military commander Khalifa Haftar.“The caravan was barred from passing through at the entrance to the city of Sirte,” Tunisian organiser Wael Naouar said in a video posted on Facebook.Naouar said the convoy needs Egyptian authorisation to reach Gaza but had received mixed messages from local security officials. “Some told us we could cross in a few hours. Others insisted that ‘Egypt has denied [passage] and therefore you will not pass,'” he said.On Wednesday, Israeli Defence Minister Israel Katz ordered the military to block demonstrators from entering Gaza from Egypt, claiming people involved were “jihadist protesters”.“I expect the Egyptian authorities to prevent them from reaching the Egypt-Israel border and not allow them to carry out provocations and try to enter Gaza,” he added.It comes as Israel continues its relentless air strikes on Gaza, while severely restricting the flow of aid, including food, water, and medical supplies, as humanitarian experts warn that the enclave could fall into full-scale famine unless Israel lifts the blockade.",0,
4,aljazeera,Iranians rally for retaliation against Israeli strikes,2025-06-13,program/newsfeed,https://www.aljazeera.com/program/newsfeed/2025/6/13/iranians-rally-for-retaliation-against-israeli-strikes,"Hundreds rallied in Tehran after Israeli strikes killed top generals, nuclear scientists, and civilians. The attack came amid stalled nuclear talks between Iran and world powers. Protesters chanted “Death to America” as Iran vowed severe retaliation.",1,
5,aljazeera,United Nations slams US- and Israel-backed Gaza aid group as a ‘failure’,2025-06-13,news,https://www.aljazeera.com/news/2025/6/13/united-nations-slams-us-and-israel-backed-gaza-aid-group-as-a-failure,"The United Nations says the Israeli- and United States-backed Gaza Humanitarian Foundation (GHF) is a “failure” from a humanitarian perspective.Jens Laerke, spokesperson for the UN Office for the Coordination of Humanitarian Affairs (OCHA), said aid operations have stalled because the GHF is not delivering supplies safely to those in need.“GHF, I think it’s fair to say, has been, from a principled humanitarian standpoint, a failure,” Laerke told reporters in Geneva on Friday. “They are not doing what a humanitarian operation should do, which is providing aid to people where they are, in a safe and secure manner.”The UN and major aid groups have refused to cooperate with the GHF, citing concerns that it prioritises Israeli military objectives over humanitarian needs.The newly formed private organisation began operations on May 26 after Israel had completely cut off supplies into Gaza for more than two months, sparking warnings of mass famine.It says it has distributed more than 18 million meals since then.On Friday, at least 44 Palestinians were killed in Israeli attacks, medical sources told Al Jazeera.Al Jazeera’s Tariq Abu Azzoum, reporting from Deir el-Balah in central Gaza, said Israeli forces were targeting parts of Khan Younis in southern Gaza with artillery fire and ground attacks.“The Israeli military is deepening its ground operations,” Azzoum said, saying there were clashes in the eastern part of the city.The besieged territory remained under a communications blackout for a second day on Friday. Hamas has denounced what it described as an Israeli decision to cut communication lines in Gaza, calling it “a new aggressive step” in the country’s “war of extermination”.Israel continues to force civilians into what it calls the “safe zone” of al-Mawasi, a barren coastal strip with no infrastructure, which it has repeatedly bombed. A drone strike on a tent there killed at least two people on Friday.The attack left “everyone on the ground quite confused about where they can go in order to find safety”, Azzoum said.In the occupied West Bank, Israel sealed all crossings and checkpoints between Palestinian towns and cities early on Friday, shortly after it launched a wave of air strikes on targets in Iran.Sources told Al Jazeera the closures were imposed without any indication of when they might be lifted.The Palestine Red Crescent Society said its ambulances were being denied access to patients, including those in urgent need of medical care.In occupied East Jerusalem, Israeli forces closed Al-Aqsa Mosque, preventing Palestinians from attending Friday prayers.Palestinian Prime Minister Mohammad Mustafa held an emergency cabinet meeting in response and activated crisis committees across the West Bank.",1,
6,aljazeera,French MEP on Gaza flotilla speaks at Paris Gaza rally,2025-06-13,program/newsfeed,https://www.aljazeera.com/program/newsfeed/2025/6/13/french-mep-on-gaza-flotilla-speaks-at-paris-gaza-rally,French MEP Rima Hassan spoke at a Paris pro-Palestinian rally after being deported from Israel for joining the Gaza flotilla ship Madleen. Her detention sparked protests in cities across France. Six activists were expelled, two remain in Israeli custody.,0
7,aljazeera,"Israel kills nuclear scientists, strikes sites in Iran: Who did it target?",2025-06-13,news,https://www.aljazeera.com/news/2025/6/13/israel-kills-nuclear-scientists-strikes-sites-in-iran-who-did-it-target,"Two key Iranian nuclear scientists are among six scientists killed in Israeli strikes on sites in Iran on Friday.More than 200 Israeli Air Force fighter jets hit more than 100 nuclear, military and infrastructure targets across Iran, including its main nuclear facility in Natanz.The Israeli army said it had damaged the Natanz uranium enrichment site’s underground structures, including a multistorey enrichment hall with centrifuges, electrical rooms and additional supporting infrastructure.It added that “vital infrastructure at the site that allows for its continuous functioning and the continued advancement of the Iranian regime’s project to obtain nuclear weapons was attacked”.This came just a day after United States President Donald Trump said his administration was “fairly close to a pretty good agreement” with Iran and that military action “could blow it” and lead to a “massive conflict”.However, on Thursday, Washington also hinted at the possibility of an imminent escalation when it announced it was partially evacuating its embassy in Iraq and had authorised “the voluntary departure” of dependants of US personnel from other locations across the Middle East.On Thursday, the United Nations nuclear watchdog, the International Atomic Energy Agency (IAEA), declared that Iran had not complied with its nonproliferation obligations for the first time in almost 20 years. Tehran maintains that its nuclear programme focuses on peaceful purposes and is not developing weapons.The spokesperson for Iran’s armed forces, Abolfazl Shekarchi, warned that Israel would pay a “heavy price” for its attacks, which also killed three senior military figures, including Mohammad Bagheri, the country’s highest-ranking official.In total, six Iranian scientists have been killed in the Israeli strikes.Iran’s Tasnim news agency described two of the victims, Mohammad Mehdi Tehranchi and Fereydoun Abbasi, as “major nuclear scientists”.Tehranchi, a theoretical physicist, was the president of the Islamic Azad University of Iran. He was added to the US Department’s Entity List of actors “acting contrary to the national security or foreign policy interests” in March 2020.The building housing the residence of Tehranchi and several other Iranian scientists was severely damaged in Friday morning’s attacks.Abbasi was a former head of the Atomic Energy Organization of Iran and a former member of the Iranian parliament. He held a PhD in nuclear physics and had conducted nuclear research at the defence ministry.In 2010, Abbasi survived twin blasts in Tehran that killed fellow nuclear scientist Majid Shahriari. Iran blamed Israel for the incident, although Israel neither confirmed nor denied the assassination.The news agency identified the other slain scientists as:Israeli Prime Minister Benjamin Netanyahu said the so-called “Operation Rising Lion” had struck Iran’s main uranium enrichment facility in Natanz.The IAEA said there was no increase in radiation levels at the site following the strike. No casualties have been reported.Natanz, a heavily fortified facility located outside the Shia holy city of Qom, houses an underground fuel enrichment plant and an above-ground pilot fuel enrichment plant.The IAEA said it had not received reports of strikes or damage at other key Iranian nuclear sites, including a large nuclear technology centre on the outskirts of Isfahan, a nuclear power plant in Bushehr and a fuel enrichment plant in Fordow.More sites could be targeted in the coming days, however. Netanyahu said the military operation aimed to “roll back the Iranian threat to Israel’s very survival” and would “continue for as many days as it takes to remove this threat.”The killing of the six Iranian scientists is only the latest in a long line of assassinations blamed on Israel.In 2020, top nuclear scientist Mohsen Fakhrizadeh was shot dead by a remote-controlled machine gun in the town of Absard, east of Tehran. Iranian authorities blamed the assassination on Israel, which again neither confirmed nor denied its involvement.Mostafa Ahmadi Roshan, an academic who worked at the Natanz uranium enrichment facility, was killed in 2012 by a magnetic bomb stuck to his car as he was driving in Tehran.The explosion occurred on the second anniversary of the killing of Masoud Ali Mohammadi, another nuclear scientist killed by a remote-control bomb.In November 2010, Majid Shahriari, a top nuclear scientist and a member of the nuclear engineering department of Shahid Beheshti University in Tehran, was killed in one of two explosions in Tehran. The then-president, Mahmoud Ahmadinejad, accused “Western governments” and Israel of being behind the assassination.The second blast caught Abbasi, the scientist killed in Israel’s attacks on Friday, and his wife. Both were injured but survived the event.Yes. While Israel has never used missiles in direct attacks on Iran’s nuclear military sites before, it has targeted Iran’s primary nuclear facility at Natanz by other means.In April 2021, Iran accused Israel of causing an explosion and power cut at the nuclear site that damaged centrifuges in its underground fuel enrichment plant. Ali Akbar Salehi, who headed the Atomic Energy Organization of Iran (AEOI), said the attack was an act of “nuclear terrorism” but did not specify who was responsible.The same site was also damaged by an explosion in August 2020. Iran accused Israel of “sabotage” on that occasion, but it did not specify what had caused the blast.Israel has stepped up its cultivation of human intelligence sources inside Iran, and has improved its technological capabilities for spying with the help of European and US satellites.Muhanad Seloom, an assistant professor in critical security studies at the Doha Institute for Graduate Studies, told Al Jazeera that the Israeli attack was a demonstration of its progress in this sector.“The Israeli side have already sent the message clearly to Tehran that we know where your leaders are, we know who they are, we have accurate intelligence, and we have the technological means to reach inside Iran,” he said.“The significance is not about the type of weapons used, but the intelligence success that Israel has been able to achieve inside Iran,” he said.Al Jazeera correspondent Dorsa Jabbari said Iran’s civilian population had been caught off guard by the latest escalation. “They have not seen anything like this since the Iran-Iraq war ended in 1988,” she said. “These scenes are very new to the new generation in Iran. It’s something they’ve never seen before and something they thought they’d never see.”Jabbari added that the scope and scale of Friday’s attacks by Israel were much greater than the tit-for-tat missile attacks the two countries engaged in last year, when Israel targeted non-nuclear sites such as military facilities and infrastructure.“This was completely by surprise. And the scale of this attack is much larger and broader,” she said. “It’s not a one-off. This is not a strategic in-and-out kind of attack, they are continuing as we speak, and we have no idea when they will end.”",1,
8,aljazeera,What happened to the Madleen Gaza boat activists detained by Israel?,2025-06-12,news,https://www.aljazeera.com/news/2025/6/12/explainer-how-is-israel-treating-the-eight-flotilla-activists,"On June 9, Israeli forces seized the Madleen ship in international waters in the Mediterranean Sea as it attempted to break the suffocating siege on Gaza.The 12 activists on board – who belong to the Freedom Flotilla Coalition – were abducted in international waters and taken to Israel.One day after their capture, four of them were swiftly deported after waiving their right to see an Israeli judge and signing a deportation order that claimed they had “illegally” entered Israel. Well-known Swedish climate and human rights activist, Greta Thunberg, was among those deported.The other eight refused to sign and remained in detention. On Thursday, six of them were deported, including Rima Hassan, a French-Palestinian member of the European Parliament.Another two French nationals remain in Israeli custody awaiting deportation on Friday, according to Adalah, a nonprofit legal association in Israel.This is everything you need to know about their treatment.On Tuesday, Israel deported Thunberg (Sweden), Sergio Toribio (Spain), Baptiste Andre (France) and Omar Faiad (France). Faiad is a reporter with Al Jazeera Mubasher.On Thursday, six more were deported, including Rima Hassan, a French-Palestinian member of the European Parliament, Mark van Rennes (Netherlands), Suayb Ordu (Turkiye), Yasemin Acar (Germany), Thiago Avila (Brazil) and Reva Viard (France), according to Adalah, cited by Turkish news agency Anadolu.French nationals Pascal Maurieras and Yanis Mhamdi remain in detention and are expected to be released on Friday, according to Adalah. Mhamdi is a journalist for The Blast, a French left-wing outlet.In Givon prison in Ramla, a city between West Jerusalem and Tel Aviv.Two of the activists, Hassan and Avila, were placed in solitary confinement, according to Adalah.Hassan was taken there after first writing “Free Palestine” on the prison walls. Adalah later reported that Avila began a hunger and water strike to protest Israel’s blockade of Gaza, which has led to widespread starvation.Hassan was later returned to Givon, said Adalah.After Thursday’s release of Hassan and Avila, along with four others from the Madleen, Adalah released a statement saying that “volunteers were subjected to mistreatment, punitive measures and aggressive treatment, and two volunteers were held for some period of time in solitary confinement”.According to Luigi Daniele, a legal scholar at the University of Molise, Italy, Israel has no right to intercept a boat in international waters or to deny aid to starving civilians in Gaza.On the contrary, Israel has an international legal obligation as an occupying power to facilitate aid into Gaza.He told a local Italian outlet that Israel, above all, has no legal right to use force or permanent aggression on occupied Palestinian territory, including against the activists who were sailing to Gaza on the Madleen.Adalah has also argued that the activists were not trying to enter Israel illegally, but were sailing to Gaza, which is occupied Palestinian land.Israeli courts dismissed the legal arguments made by Adalah.The Madleen activists are supposed to serve 72 hours in the Israeli prison before being deported back to their home countries, according to Israeli law.This indicates all activists should have been released at some point on June 12, yet it is unclear if the remaining detainees – Maurieras and Mhamdi – will face additional charges that could keep them longer in prison.Some have, while others have been curiously silent.France’s foreign minister, Jean-Noel Barrot, said earlier this week that he expected the four French activists who were on board the Madleen to return to France on Thursday or Friday. As of Thursday, two remained in detention.Brazil had also demanded the release of Brazilian activist, Avila. When the activists were first abducted from international waters, Brazilian diplomats reportedly visited Givon prison to assist with legal proceedings.In addition, Turkiye called Israel a “terrorist state” after the Madleen was intercepted.Germany and the Netherlands, however, did not issue public statements to demand the release of their nationals.The Madleen’s captain, Mark van Reenes, deported on Thursday, is a Dutch national who filmed himself just before Israel seized the ship.In the video, he called on his country to urgently demand his release.UN special rapporteur for the occupied Palestinian territory, Francesca Albanese, also posted on X that “the silence of [European Union] institutions over the unlawful detention and punitive conditions imposed on EU citizens including [Hassan] speaks volumes to the deep roots of Israelism in European institutional culture”.",0,
9,aljazeera,What happened to the Madleen Gaza boat activists detained by Israel?,2025-06-12,news,https://www.aljazeera.com/news/2025/6/12/explainer-how-is-israel-treating-the-eight-flotilla-activists,"On June 9, Israeli forces seized the Madleen ship in international waters in the Mediterranean Sea as it attempted to break the suffocating siege on Gaza.The 12 activists on board – who belong to the Freedom Flotilla Coalition – were abducted in international waters and taken to Israel.One day after their capture, four of them were swiftly deported after waiving their right to see an Israeli judge and signing a deportation order that claimed they had “illegally” entered Israel. Well-known Swedish climate and human rights activist, Greta Thunberg, was among those deported.The other eight refused to sign and remained in detention. On Thursday, six of them were deported, including Rima Hassan, a French-Palestinian member of the European Parliament.Another two French nationals remain in Israeli custody awaiting deportation on Friday, according to Adalah, a nonprofit legal association in Israel.This is everything you need to know about their treatment.On Tuesday, Israel deported Thunberg (Sweden), Sergio Toribio (Spain), Baptiste Andre (France) and Omar Faiad (France). Faiad is a reporter with Al Jazeera Mubasher.On Thursday, six more were deported, including Rima Hassan, a French-Palestinian member of the European Parliament, Mark van Rennes (Netherlands), Suayb Ordu (Turkiye), Yasemin Acar (Germany), Thiago Avila (Brazil) and Reva Viard (France), according to Adalah, cited by Turkish news agency Anadolu.French nationals Pascal Maurieras and Yanis Mhamdi remain in detention and are expected to be released on Friday, according to Adalah. Mhamdi is a journalist for The Blast, a French left-wing outlet.In Givon prison in Ramla, a city between West Jerusalem and Tel Aviv.Two of the activists, Hassan and Avila, were placed in solitary confinement, according to Adalah.Hassan was taken there after first writing “Free Palestine” on the prison walls. Adalah later reported that Avila began a hunger and water strike to protest Israel’s blockade of Gaza, which has led to widespread starvation.Hassan was later returned to Givon, said Adalah.After Thursday’s release of Hassan and Avila, along with four others from the Madleen, Adalah released a statement saying that “volunteers were subjected to mistreatment, punitive measures and aggressive treatment, and two volunteers were held for some period of time in solitary confinement”.According to Luigi Daniele, a legal scholar at the University of Molise, Italy, Israel has no right to intercept a boat in international waters or to deny aid to starving civilians in Gaza.On the contrary, Israel has an international legal obligation as an occupying power to facilitate aid into Gaza.He told a local Italian outlet that Israel, above all, has no legal right to use force or permanent aggression on occupied Palestinian territory, including against the activists who were sailing to Gaza on the Madleen.Adalah has also argued that the activists were not trying to enter Israel illegally, but were sailing to Gaza, which is occupied Palestinian land.Israeli courts dismissed the legal arguments made by Adalah.The Madleen activists are supposed to serve 72 hours in the Israeli prison before being deported back to their home countries, according to Israeli law.This indicates all activists should have been released at some point on June 12, yet it is unclear if the remaining detainees – Maurieras and Mhamdi – will face additional charges that could keep them longer in prison.Some have, while others have been curiously silent.France’s foreign minister, Jean-Noel Barrot, said earlier this week that he expected the four French activists who were on board the Madleen to return to France on Thursday or Friday. As of Thursday, two remained in detention.Brazil had also demanded the release of Brazilian activist, Avila. When the activists were first abducted from international waters, Brazilian diplomats reportedly visited Givon prison to assist with legal proceedings.In addition, Turkiye called Israel a “terrorist state” after the Madleen was intercepted.Germany and the Netherlands, however, did not issue public statements to demand the release of their nationals.The Madleen’s captain, Mark van Reenes, deported on Thursday, is a Dutch national who filmed himself just before Israel seized the ship.In the video, he called on his country to urgently demand his release.UN special rapporteur for the occupied Palestinian territory, Francesca Albanese, also posted on X that “the silence of [European Union] institutions over the unlawful detention and punitive conditions imposed on EU citizens including [Hassan] speaks volumes to the deep roots of Israelism in European institutional culture”.",0,
